"question","answer"
"skates sting bite
","If there is a part of the marine organism, it is removed, the wound is cleaned, an antihistamine ointment is applied. In the event of an anaphylactic reaction, seek medical help immediately. If there is an adrenaline injection, give the injection in the arm or thigh, according to the product instructions. Loosen tie or belt. If he is not breathing, apply CPR. With extended elbows repeat 30 compressions placing one hand on top of the other in the center of the chest. We use our body weight, at a rate of 100-120 min at a depth of 5-6 cm. Then lift the patient's chin, opening his mouth, seal the nose and give two breaths, until the chest rises. Let the person exhale. Repeat the process until the person revives, medical help arrives or until you tire.
"
"stroke
","A stroke is defined as damage to the brain of vascular etiology, a stroke that originated either from an interruption of the blood supply to the affected area (ischemic), or from bleeding as a consequence of the rupture of a vessel (hemorrhagic). If we see a person with drooping of one side of the face, slurred speech, reduced or blurred vision, inability to raise an arm, dizziness, headache, we suspect a stroke and call for help. There are cases where the damage is great and we may lose consciousness until stopping. It's important to note the time when symptoms first started, as this can help medical professionals determine the best treatment options. Help the person lie down and stay calm while waiting for emergency services to arrive. If the person stops breathing or their heart stops beating, perform CPR until emergency services arrive. Do not give the person any medications unless instructed to do so by a medical professional. If the person is conscious, support their head and neck to prevent any movement. If the person is wearing tight clothing, such as a tie or scarf, loosen it to ensure they can breathe comfortably. 
"
"How do you treat a mild Fever?
","To treat a fever at home: 1)Drink plenty of fluids to stay hydrated. 2)Dress in lightweight clothing. 3)Use a light blanket if you feel chilled, until the chills end. 4)Take acetaminophen (Tylenol, others) or ibuprofen (Advil, Motrin IB, others). 5) Get medical help if the fever lasts more than five days in a row.
"
"what to do if i get a mild fever?
","To treat a fever at home: 1)Drink plenty of fluids to stay hydrated. 2)Dress in lightweight clothing. 3)Use a light blanket if you feel chilled, until the chills end. 4)Take acetaminophen (Tylenol, others) or ibuprofen (Advil, Motrin IB, others). 5) Get medical help if the fever lasts more than five days in a row.
"
"Which medicine to take if I get a mild fever?
","To treat a fever at home: 1)Drink plenty of fluids to stay hydrated. 2)Dress in lightweight clothing. 3)Use a light blanket if you feel chilled, until the chills end. 4)Take acetaminophen (Tylenol, others) or ibuprofen (Advil, Motrin IB, others). 5) Get medical help if the fever lasts more than five days in a row.
"
"fever
","To treat a fever at home: 1)Drink plenty of fluids to stay hydrated. 2)Dress in lightweight clothing. 3)Use a light blanket if you feel chilled, until the chills end. 4)Take acetaminophen (Tylenol, others) or ibuprofen (Advil, Motrin IB, others). 5) Get medical help if the fever lasts more than five days in a row.
"
"How do you treat nasal Congestion?
","When you're stuffed up, focus on keeping your nasal passages and sinuses moist. To keep your nasal passages moist, you can: 1)Use a humidifier or vaporizer. 2)Drink lots of fluids. This will thin out your mucus, which could help prevent blocked sinuses. 3)Place a warm, wet towel on your face. It may relieve discomfort and open your nasal passages.
"
"what to do if i get a nasal congestion?
","When you're stuffed up, focus on keeping your nasal passages and sinuses moist. To keep your nasal passages moist, you can: 1)Use a humidifier or vaporizer. 2)Drink lots of fluids. This will thin out your mucus, which could help prevent blocked sinuses. 3)Place a warm, wet towel on your face. It may relieve discomfort and open your nasal passages.
"
"Which medicine to take if I have a nasal congestion?
","When you're stuffed up, focus on keeping your nasal passages and sinuses moist. To keep your nasal passages moist, you can: 1)Use a humidifier or vaporizer. 2)Drink lots of fluids. This will thin out your mucus, which could help prevent blocked sinuses. 3)Place a warm, wet towel on your face. It may relieve discomfort and open your nasal passages.
"
"what to do if i have a blocked nose?
","When you're stuffed up, focus on keeping your nasal passages and sinuses moist. To keep your nasal passages moist, you can: 1)Use a humidifier or vaporizer. 2)Drink lots of fluids. This will thin out your mucus, which could help prevent blocked sinuses. 3)Place a warm, wet towel on your face. It may relieve discomfort and open your nasal passages.
"
"How do you treat a blocked nose?
","When you're stuffed up, focus on keeping your nasal passages and sinuses moist. To keep your nasal passages moist, you can: 1)Use a humidifier or vaporizer. 2)Drink lots of fluids. This will thin out your mucus, which could help prevent blocked sinuses. 3)Place a warm, wet towel on your face. It may relieve discomfort and open your nasal passages.
"
"How long does nasal congestion last?
","When you're stuffed up, focus on keeping your nasal passages and sinuses moist. To keep your nasal passages moist, you can: 1)Use a humidifier or vaporizer. 2)Drink lots of fluids. This will thin out your mucus, which could help prevent blocked sinuses. 3)Place a warm, wet towel on your face. It may relieve discomfort and open your nasal passages.
"
"How to cure cough?
","1) Honey:- Use honey to treat a cough, mix 2 teaspoons (tsp) with warm water or an herbal tea. Drink this mixture once or twice a day. Do not give honey to children under 1 year of age. 2) Ginger:- Brew up a soothing ginger tea by adding 20�40 grams (g) of fresh ginger slices to a cup of hot water. Allow to steep for a few minutes before drinking. Add honey or lemon juice to improve the taste and further soothe a cough. 3) Fluids:- Staying hydrated is vital for those with a cough or cold. Research indicates that drinking liquids at room temperature can alleviate a cough, runny nose, and sneezing.
"
"How do you treat cough?
","1) Honey:- Use honey to treat a cough, mix 2 teaspoons (tsp) with warm water or an herbal tea. Drink this mixture once or twice a day. Do not give honey to children under 1 year of age. 2) Ginger:- Brew up a soothing ginger tea by adding 20�40 grams (g) of fresh ginger slices to a cup of hot water. Allow to steep for a few minutes before drinking. Add honey or lemon juice to improve the taste and further soothe a cough. 3) Fluids:- Staying hydrated is vital for those with a cough or cold. Research indicates that drinking liquids at room temperature can alleviate a cough, runny nose, and sneezing.
"
"what to do if i get a cough?
","1) Honey:- Use honey to treat a cough, mix 2 teaspoons (tsp) with warm water or an herbal tea. Drink this mixture once or twice a day. Do not give honey to children under 1 year of age. 2) Ginger:- Brew up a soothing ginger tea by adding 20�40 grams (g) of fresh ginger slices to a cup of hot water. Allow to steep for a few minutes before drinking. Add honey or lemon juice to improve the taste and further soothe a cough. 3) Fluids:- Staying hydrated is vital for those with a cough or cold. Research indicates that drinking liquids at room temperature can alleviate a cough, runny nose, and sneezing.
"
"Which medicine to take if I get cough?
","1) Honey:- Use honey to treat a cough, mix 2 teaspoons (tsp) with warm water or an herbal tea. Drink this mixture once or twice a day. Do not give honey to children under 1 year of age. 2) Ginger:- Brew up a soothing ginger tea by adding 20�40 grams (g) of fresh ginger slices to a cup of hot water. Allow to steep for a few minutes before drinking. Add honey or lemon juice to improve the taste and further soothe a cough. 3) Fluids:- Staying hydrated is vital for those with a cough or cold. Research indicates that drinking liquids at room temperature can alleviate a cough, runny nose, and sneezing.
"
"How do you get rid of cough?
","1) Honey:- Use honey to treat a cough, mix 2 teaspoons (tsp) with warm water or an herbal tea. Drink this mixture once or twice a day. Do not give honey to children under 1 year of age. 2) Ginger:- Brew up a soothing ginger tea by adding 20�40 grams (g) of fresh ginger slices to a cup of hot water. Allow to steep for a few minutes before drinking. Add honey or lemon juice to improve the taste and further soothe a cough. 3) Fluids:- Staying hydrated is vital for those with a cough or cold. Research indicates that drinking liquids at room temperature can alleviate a cough, runny nose, and sneezing.
"
"How do you treat sore throat?
","1) Make sure you get plenty of rest and drink a lot of fluids. 2)Inhale steam,Run hot water in a sink.Drape a towel over you to trap the steam, and have the person lean over the sink with the water running. Tell him to breathe deeply through his mouth and nose for 5 to 10 minutes. Repeat several times a day. 3)Have him sip chicken broth or warm tea with honey. Don�t give honey to a child under 12 months of age.
"
"what to do if i get a sore throat?
","1) Make sure you get plenty of rest and drink a lot of fluids. 2)Inhale steam,Run hot water in a sink.Drape a towel over you to trap the steam, and have the person lean over the sink with the water running. Tell him to breathe deeply through his mouth and nose for 5 to 10 minutes. Repeat several times a day. 3)Have him sip chicken broth or warm tea with honey. Don�t give honey to a child under 12 months of age.
"
"Which medicine to take if I get a sore throat?
","1) Make sure you get plenty of rest and drink a lot of fluids. 2)Inhale steam,Run hot water in a sink.Drape a towel over you to trap the steam, and have the person lean over the sink with the water running. Tell him to breathe deeply through his mouth and nose for 5 to 10 minutes. Repeat several times a day. 3)Have him sip chicken broth or warm tea with honey. Don�t give honey to a child under 12 months of age.
"
"How to cure sore throat?
","1) Make sure you get plenty of rest and drink a lot of fluids. 2)Inhale steam,Run hot water in a sink.Drape a towel over you to trap the steam, and have the person lean over the sink with the water running. Tell him to breathe deeply through his mouth and nose for 5 to 10 minutes. Repeat several times a day. 3)Have him sip chicken broth or warm tea with honey. Don�t give honey to a child under 12 months of age.
"
"How do you treat gas problems?
","1) Replenish body fluids 2)Do not take antidiarrheal drugs or laxatives or pain medication, unless specified by a medical professional.3)Taking antacids may help, per recommendation of a healthcare professional. 4)If prone to frequent heartburns, seek medical help. 5)Taking meals that are not spicy regularly, can relieve ulcer pains. 6)Seek medical help, if conditions persist or continue to worsen
"
"what to do if i have Gastrointestinal problems?
","1) Replenish body fluids 2)Do not take antidiarrheal drugs or laxatives or pain medication, unless specified by a medical professional.3)Taking antacids may help, per recommendation of a healthcare professional. 4)If prone to frequent heartburns, seek medical help. 5)Taking meals that are not spicy regularly, can relieve ulcer pains. 6)Seek medical help, if conditions persist or continue to worsen
"
"Which medicine to take if I get gas problem?
","1) Replenish body fluids 2)Do not take antidiarrheal drugs or laxatives or pain medication, unless specified by a medical professional.3)Taking antacids may help, per recommendation of a healthcare professional. 4)If prone to frequent heartburns, seek medical help. 5)Taking meals that are not spicy regularly, can relieve ulcer pains. 6)Seek medical help, if conditions persist or continue to worsen
"
"How to cure Gas problems?
","1) Replenish body fluids 2)Do not take antidiarrheal drugs or laxatives or pain medication, unless specified by a medical professional.3)Taking antacids may help, per recommendation of a healthcare professional. 4)If prone to frequent heartburns, seek medical help. 5)Taking meals that are not spicy regularly, can relieve ulcer pains. 6)Seek medical help, if conditions persist or continue to worsen
"
"How do you treat Abdonominal Pain?
","1)Provide clear fluids to sip, such as water, broth, or fruit juice diluted with water. 2)Serve bland foods, such as saltine crackers, plain bread, dry toast, rice, gelatin, or applesauce. 3)Avoid spicy or greasy foods and caffeinated or carbonated drinks until 48 hours after all symptoms have gone away. 
"
"what to do if i get a Abdonominal Pain?
","1)Provide clear fluids to sip, such as water, broth, or fruit juice diluted with water. 2)Serve bland foods, such as saltine crackers, plain bread, dry toast, rice, gelatin, or applesauce. 3)Avoid spicy or greasy foods and caffeinated or carbonated drinks until 48 hours after all symptoms have gone away. 
"
"Which medicine to take if I get a Abdonominal Pain?
","1)Provide clear fluids to sip, such as water, broth, or fruit juice diluted with water. 2)Serve bland foods, such as saltine crackers, plain bread, dry toast, rice, gelatin, or applesauce. 3)Avoid spicy or greasy foods and caffeinated or carbonated drinks until 48 hours after all symptoms have gone away. 
"
"How to cure Abdonominal Pain?
","1)Provide clear fluids to sip, such as water, broth, or fruit juice diluted with water. 2)Serve bland foods, such as saltine crackers, plain bread, dry toast, rice, gelatin, or applesauce. 3)Avoid spicy or greasy foods and caffeinated or carbonated drinks until 48 hours after all symptoms have gone away. 
"
"How do you treat Bruises?
","1)Ice the bruise with an ice pack wrapped in a towel. 2)Leave it in place for 10 to 20 minutes. 3)Repeat several times a day for a day or two as needed. 4)Compress the bruised area if it is swelling, using an elastic bandage. 
"
"what to do if i get a Bruise?
","1)Ice the bruise with an ice pack wrapped in a towel. 2)Leave it in place for 10 to 20 minutes. 3)Repeat several times a day for a day or two as needed. 4)Compress the bruised area if it is swelling, using an elastic bandage. 
"
"Which medicine to take if I get a Bruise?
","1)Ice the bruise with an ice pack wrapped in a towel. 2)Leave it in place for 10 to 20 minutes. 3)Repeat several times a day for a day or two as needed. 4)Compress the bruised area if it is swelling, using an elastic bandage. 
"
"How to cure Bruises?
","1)Ice the bruise with an ice pack wrapped in a towel. 2)Leave it in place for 10 to 20 minutes. 3)Repeat several times a day for a day or two as needed. 4)Compress the bruised area if it is swelling, using an elastic bandage. 
"
"How do you treat Diarrhea?
","1)Hydrating the body is essential for recovering from diarrhea.This causes the body to lose electrolytes such as sodium and chloride. 2)It is highly recommended to avoid dairy products, as they may worsen diarrhea in some people. 3)However, if diarrhea lasts for more than 2 days, seek medical advice to avoid complications.
"
"what to do if i get Diarrhea?
","1)Hydrating the body is essential for recovering from diarrhea.This causes the body to lose electrolytes such as sodium and chloride. 2)It is highly recommended to avoid dairy products, as they may worsen diarrhea in some people. 3)However, if diarrhea lasts for more than 2 days, seek medical advice to avoid complications.
"
"Which medicine to take if I get Diarrhea?
","1)Hydrating the body is essential for recovering from diarrhea.This causes the body to lose electrolytes such as sodium and chloride. 2)It is highly recommended to avoid dairy products, as they may worsen diarrhea in some people. 3)However, if diarrhea lasts for more than 2 days, seek medical advice to avoid complications.
"
"How to cure Diarrhea?
","1)Hydrating the body is essential for recovering from diarrhea.This causes the body to lose electrolytes such as sodium and chloride. 2)It is highly recommended to avoid dairy products, as they may worsen diarrhea in some people. 3)However, if diarrhea lasts for more than 2 days, seek medical advice to avoid complications.
"
"How do you treat a Frost bite?
"," 
"
"what to do if i get a Frost bite?
"," 
"
"Which medicine to take if I get a Frost bite?
"," 
"
"How to cure Frost bite?
"," 
"
"How do you treat Testicle Pain?
"," 
"
"what to do if i get a Testicle Pain?
"," 
"
"Which medicine to take if I get a Testicle Pain?
"," 
"
"How to cure Testicle Pain?
"," 
"
"How do you treat a Vertigo?
"," 
"
"what to do if i get a Vertigo?
"," 
"
"Which medicine to take if I get Vertigo?
"," 
"
"How to cure a Vertigo?
"," 
"
"How do you treat an eye Injury?
"," 
"
"what to do if i get a eye Injury?
"," 
"
"Which medicine to take if I injured my eye?
"," 
"
"How to cure injured eye?
","
"
"How do you treat broken Teeth ?
"," 
"
"what to do if my Teeth got broken?
"," 
"
"Which medicine to take if I get broken teeth?
"," 
"
"cure broken teeth?
"," 
"
"How do you treat a head Injury?
"," 
"
"what to do if i get a Head Injury?
"," 
"
"Which medicine to take if I get injured in the head?
"," 
"
"How to cure Head Injury?
"," 
"
"How do you treat a mild Headache?
","Give ibuprofen (Advil, Motrin), aspirin, or acetaminophen (Tylenol) for pain. Avoid ibuprofen and other NSAIDs if the person has heart failure or kidney failure. Do not give aspirin to a child under age 18.
"
"what to do if i get a mild Headache?
","Give ibuprofen (Advil, Motrin), aspirin, or acetaminophen (Tylenol) for pain. Avoid ibuprofen and other NSAIDs if the person has heart failure or kidney failure. Do not give aspirin to a child under age 18.
"
"Which medicine to take if I have a mild headache?
","Give ibuprofen (Advil, Motrin), aspirin, or acetaminophen (Tylenol) for pain. Avoid ibuprofen and other NSAIDs if the person has heart failure or kidney failure. Do not give aspirin to a child under age 18.
"
"How to cure a mild headache?
","Give ibuprofen (Advil, Motrin), aspirin, or acetaminophen (Tylenol) for pain. Avoid ibuprofen and other NSAIDs if the person has heart failure or kidney failure. Do not give aspirin to a child under age 18.
"
"How do you treat a Cold?
","""1)Keeping hydrated is absolutely vital to help 'flush' out the cold, as well as to break down congestion and keep your throat lubricated. 2)Vitamin C is extremely helpful when fighting infection, so at the first sign of a cold be sure to increase your intake by eating plenty of berries, citrus fruits, papayas, broccoli and red peppers which will help keep you protected. 3)When it comes to combating a cold,Vitamin D is essential in helping to regulate immune response.""
"
"what to do if i get a mild Cold?
","""1)Keeping hydrated is absolutely vital to help 'flush' out the cold, as well as to break down congestion and keep your throat lubricated. 2)Vitamin C is extremely helpful when fighting infection, so at the first sign of a cold be sure to increase your intake by eating plenty of berries, citrus fruits, papayas, broccoli and red peppers which will help keep you protected. 3)When it comes to combating a cold,Vitamin D is essential in helping to regulate immune response.""
"
"Which medicine to take if I have a Cold?
","""1)Keeping hydrated is absolutely vital to help 'flush' out the cold, as well as to break down congestion and keep your throat lubricated. 2)Vitamin C is extremely helpful when fighting infection, so at the first sign of a cold be sure to increase your intake by eating plenty of berries, citrus fruits, papayas, broccoli and red peppers which will help keep you protected. 3)When it comes to combating a cold,Vitamin D is essential in helping to regulate immune response.""
"
"How to cure Cold?
","""1)Keeping hydrated is absolutely vital to help 'flush' out the cold, as well as to break down congestion and keep your throat lubricated. 2)Vitamin C is extremely helpful when fighting infection, so at the first sign of a cold be sure to increase your intake by eating plenty of berries, citrus fruits, papayas, broccoli and red peppers which will help keep you protected. 3)When it comes to combating a cold,Vitamin D is essential in helping to regulate immune response.""
"
"How do you treat Rashes?
","1)Olive oil helps in healing and promotes skin renewal given it is packed with vitamin E and antioxidants. It also soothes the skin and reduces itching. 2)Baking soda is useful in drying skin rashes as also in relieving itching and inflammation. 3)Aloe Vera,Thanks to its antibacterial, antifungal, anti-inflammatory and emollient properties, aloe vera is excellent for treating a number of skin ailments including rashes as also soothing the skin.
"
"what to do if i get a Rash?
","1)Olive oil helps in healing and promotes skin renewal given it is packed with vitamin E and antioxidants. It also soothes the skin and reduces itching. 2)Baking soda is useful in drying skin rashes as also in relieving itching and inflammation. 3)Aloe Vera,Thanks to its antibacterial, antifungal, anti-inflammatory and emollient properties, aloe vera is excellent for treating a number of skin ailments including rashes as also soothing the skin.
"
"Which medicine to take if I have a Rash?
","1)Olive oil helps in healing and promotes skin renewal given it is packed with vitamin E and antioxidants. It also soothes the skin and reduces itching. 2)Baking soda is useful in drying skin rashes as also in relieving itching and inflammation. 3)Aloe Vera,Thanks to its antibacterial, antifungal, anti-inflammatory and emollient properties, aloe vera is excellent for treating a number of skin ailments including rashes as also soothing the skin.
"
"How to cure Rash?
","1)Olive oil helps in healing and promotes skin renewal given it is packed with vitamin E and antioxidants. It also soothes the skin and reduces itching. 2)Baking soda is useful in drying skin rashes as also in relieving itching and inflammation. 3)Aloe Vera,Thanks to its antibacterial, antifungal, anti-inflammatory and emollient properties, aloe vera is excellent for treating a number of skin ailments including rashes as also soothing the skin.
"
"How to give CPR??
","1)For an adult or child, place the heel of one hand on the center of the chest at the nipple line. You can also push with one hand on top of the other. For an infant, place two fingers on the breastbone. 2)For an adult or child, press down at least 2 inches. Make sure not to press on ribs. For an infant, press down about 1 and 1/2 inches. Make sure not to press on the end of the breastbone. 3)Do chest compressions only, at the rate of 100-120 per minute or more. Let the chest rise completely between pushes. 4)Check to see if the person has started breathing.
"
"what to do in a CPR?
","1)For an adult or child, place the heel of one hand on the center of the chest at the nipple line. You can also push with one hand on top of the other. For an infant, place two fingers on the breastbone. 2)For an adult or child, press down at least 2 inches. Make sure not to press on ribs. For an infant, press down about 1 and 1/2 inches. Make sure not to press on the end of the breastbone. 3)Do chest compressions only, at the rate of 100-120 per minute or more. Let the chest rise completely between pushes. 4)Check to see if the person has started breathing.
"
"What steps to take in a CPR??
","1)For an adult or child, place the heel of one hand on the center of the chest at the nipple line. You can also push with one hand on top of the other. For an infant, place two fingers on the breastbone. 2)For an adult or child, press down at least 2 inches. Make sure not to press on ribs. For an infant, press down about 1 and 1/2 inches. Make sure not to press on the end of the breastbone. 3)Do chest compressions only, at the rate of 100-120 per minute or more. Let the chest rise completely between pushes. 4)Check to see if the person has started breathing.
"
"What are some symptoms that indicate a dangerous or serious medical problem related to a headache?","Headaches that aren't explained, headaches that steadily worsen, headaches that develop suddenly and severely, headaches that persist for several days, headaches that cause mental confusion or loss of consciousness, and headaches that happen with seizures."
"When should I seek immediate medical attention for a headache?","You should seek immediate medical attention for a headache if it develops suddenly and severely, persists for several days, causes mental confusion or loss of consciousness, or happens with seizures. You should also seek medical attention if your headache occurs with new dizziness or loss of balance, weakness or paralysis, such as in the arms or legs, numbness, difficulty speaking or understanding speech, or a reddened eye."
"What are some other situations where I should seek medical attention for a headache?","You should also seek medical attention if your headache occurs with a fever, stiff neck, or rash, is accompanied by changes in vision, such as blurring or seeing halos around lights, is serious and follows a recent sore throat or respiratory infection, begins or worsens after a head injury, fall or bump, is triggered by changing the position of your head, coughing, sneezing, bending or physical activity, or is a different type of headache from your usual type and you're older than 50."
"What should I do if I get bitten by a tick?","Remove the tick promptly and carefully using fine-tipped forceps or tweezers to grasp the tick as close to the skin as possible. Gently pull out the tick using a slow and steady upward motion. Avoid twisting or squeezing the tick. Do not handle the tick with bare hands. Do not use petroleum jelly, fingernail polish or a hot match to remove a tick. Secure the tick and take a picture. A picture of the tick can help you and your health care provider identify what type it is and whether you are at risk of a transmitted disease. Wash your hands and the bite site with warm water and soap, rubbing alcohol, or an iodine scrub."
"When should I seek emergency care after a tick bite?","Call 911 or your local emergency number if you develop a severe headache, difficulty breathing, paralysis, or heart palpitations."
"When should I contact my doctor after a tick bite?","Contact your doctor if you aren't able to completely remove the tick, the rash gets bigger, you develop flu-like signs and symptoms, you think the bite site is infected, or you think you were bitten by a deer tick. If possible, bring the tick, or a photo of the tick, with you to your doctor's appointment."
"What infections can be transmitted through tick bites?","Some ticks transmit bacteria that cause illnesses, including Lyme disease and Rocky Mountain spotted fever. In general, to transmit Lyme disease a tick needs to be attached to a person's skin for at least 36 hours. Other infections can be transferred in a few hours or even a few minutes."
"What are the signs and symptoms of Lyme disease?","A small bump may appear at the site of the tick bite. If it develops into a larger rash or you develop a rash anywhere, possibly with a bull's-eye pattern, it may indicate Lyme disease. The rash usually appears within 3 to 14 days. Flu-like signs and symptoms such as fever, chills, fatigue, muscle and joint pain, and a headache may also accompany the rash."
"What should you do if the foreign object in the nose is a magnet, battery, or expands when wet?","Remove it right away and seek emergency care."
"What should you avoid doing if a foreign object becomes lodged in the nose?","Avoid poking or prodding the object with fingers, cotton swabs or other tools, and don't wash out the object."
"What should you do if the object is pushed deeper into the nose?","Don't panic and don't try to remove it. Seek medical assistance right away."
"What should you do if the foreign object is stuck in only one nostril?","Gently close the other nostril with your finger, then blow out gently but firmly through the affected nostril."
"What is the 'parent's kiss' method for removing a foreign object from a child's nose?","Place your mouth over your child's mouth to create a seal, then give a short, sharp puff of air into your child's mouth. This should push the object out of your child's nose. If the object is stuck in one nostril, gently close the other nostril with your finger and blow into your child's mouth."
"When should you use tweezers to remove a foreign object from the nose?","Use tweezers only if the object is easy to see and grasp. Try blowing air out of the nose first, as this might free the object without tweezers."
"What should you do if you can't remove the foreign object from the nose?","Seek help right away if you see symptoms of infection, or if you can't remove the object on the first try. Call for emergency medical assistance or go to your local emergency room if these methods fail."
"What should I do first when taking care of a puncture wound?","Wash your hands to prevent infection."
"How can I stop bleeding from a puncture wound?","Apply gentle pressure with a clean bandage or cloth."
"How should I clean a puncture wound?","Rinse the wound with clear water for 5 to 10 minutes. If dirt or debris remains in the wound, use a washcloth to gently scrub it off. See a doctor if you can't remove all of the dirt or debris."
"What should I do after cleaning a puncture wound?","Apply a thin layer of an antibiotic cream or ointment (Neosporin, Polysporin). For the first two days, rewash the area and reapply the antibiotic when you change the dressing. Bandages help keep the wound clean, change the dressing daily or whenever the bandage becomes wet or dirty."
"What should I do if I notice signs of infection in a puncture wound?","See a doctor if the wound isn't healing or you notice any increasing pain, pus, swelling or fever. On light skin, spreading redness is a sign of infection. On dark skin, redness may not be apparent, or the infection's streaks may look purplish-gray or darker than your normal skin."
"When should I seek prompt medical care for a puncture wound?","You should seek immediate medical help if the wound keeps bleeding after a few minutes of direct pressure, is the result of an animal or human bite, is deep and dirty, is caused by a metal object, is deep and to the head, neck, scrotum, chest or abdomen, or is over a joint and could be deep."
"What should I do if the injured person hasn't had a tetanus shot in the past five years?","If the wound is deep or dirty, your doctor may recommend a tetanus booster shot. The injured person should have the booster shot within 48 hours of the injury."
"What should I do if the wound was caused by a cat or a dog?","Try to confirm that its rabies vaccination is up to date. If it was caused by a wild animal, seek advice from your doctor about which animals are most likely to carry rabies."
"What should I do first when caring for a cut or scrape?","Wash your hands to avoid infection."
"How can I stop the bleeding?","Apply gentle pressure with a clean bandage or cloth and elevate the wound until bleeding stops."
"What should I use to clean the wound?","Rinse the wound with water and wash around the wound with soap, but don't get soap in the wound. Don't use hydrogen peroxide or iodine as they can be irritating."
"What should I do if I can't remove all the dirt or debris from the wound?","See a doctor if you can't remove all debris with a tweezers cleaned with alcohol."
"What should I apply to the wound after cleaning?","Apply a thin layer of an antibiotic ointment or petroleum jelly to keep the surface moist and help prevent scarring."
"Should I cover the wound?","Apply a bandage, rolled gauze or gauze held in place with paper tape. Covering the wound keeps it clean. If the injury is just a minor scrape or scratch, leave it uncovered."
"How often should I change the dressing on the wound?","Change the dressing at least once a day or whenever the bandage becomes wet or dirty."
"Do I need a tetanus shot for a minor cut or scrape?","Get a tetanus shot if you haven't had one in the past five years and the wound is deep or dirty."
"When should I see a doctor for a cut or scrape?","See a doctor if you see signs of infection on the skin or near the wound, such as redness, increasing pain, drainage, warmth or swelling."
"What causes nosebleeds?","Nosebleeds can be caused by changes of season, dryness, scratching, some medicines, and injuries. People on blood thinners may have worse nosebleeds than others."
"When should I seek emergency care for a nosebleed?","You should seek emergency care if the nosebleed involves a greater than expected amount of blood, lasts longer than 30 minutes, you feel faint or lightheaded, or the nosebleed follows a fall or an accident."
"What should I do for self-care of a common nosebleed?","Sit up and lean forward. Gently blow your nose. Pinch the nose shut using the thumb and a finger for 10 to 15 minutes. If the bleeding doesn't stop, pinch the nose again for up to 15 minutes. Don't pick or blow the nose, and don't drop the head below the heart or lift anything heavy for many hours. Put a saline gel (Ayr), antibiotic ointment (Neosporin), or petroleum jelly (Vaseline) on the inside of the nose. Use steam, humidifiers, or an ice pack across the bridge of the nose. If you have another nosebleed, try the same first-aid steps again. If the bleeding does not stop, spray both sides of the nose with a nasal spray that has oxymetazoline in it (Afrin) and pinch the nose again. Seek medical help if the bleeding still does not stop."
"When should I contact my doctor regarding nosebleeds?","You should contact your doctor if you have nosebleeds often and may need to have a blood vessel cauterized. You should also contact your doctor if you have nosebleeds and are taking blood thinners, such as aspirin or warfarin (Jantoven), as your care team may need to change the medicine dose. Additionally, you may consider using a humidifier to add more moisture in your home to help relieve nasal bleeding."
"What should you do if you get a foreign object in your eye?","Wash your hands with soap and water. Try to flush the object out of your eye with a gentle stream of clean, warm water. Use an eyecup or a small, clean drinking glass positioned with its rim resting on the bone at the base of your eye socket. Another way to flush a foreign object from your eye is to get into a shower and aim a gentle stream of lukewarm water on your forehead over the affected eye while holding your eyelid open. If you're wearing contact lenses, it's best to remove the lens before or while you're irrigating the surface of the eye with water. Sometimes a foreign body can be stuck to the undersurface of the lens."
"What should you do to help someone else with a foreign object in their eye?","Wash your hands with soap and water. Seat the person in a well-lighted area. Gently examine the eye to find the object. Pull the lower lid down and ask the person to look up. Then hold the upper lid while the person looks down. If the object is floating in the tear film on the surface of the eye, try using a medicine dropper filled with clean, warm water to flush it out. Or tilt the head back and irrigate the surface of the eye with clean water from a drinking glass or a gentle stream of tap water."
"What precautions should you take when trying to remove a foreign object from the eye?","Don't try to remove an object that's embedded in the eye. Don't rub the eye. Don't try to remove a large object that appears to be embedded in the eye or is sticking out between the lids."
"When should you seek emergency care for a foreign object in the eye?","Get immediate medical help if you can't remove the object with simple irrigation, the object is embedded in the eye, the person with the object in the eye is experiencing abnormal vision, or pain, redness or the sensation of an object in the eye persists more than 24 hours after the object is removed."
"What should you do if you feel like there is still an object in your eye even after it has been removed?","Keep in mind that sometimes an object can scratch your eye. This often feels as though the object is still in the eye even after the object has been removed. This sensation can sometimes take 24 hours to go away."
"What are the symptoms of food poisoning?","Symptoms of food poisoning vary with the source of contamination, but generally include diarrhea (which may be bloody), nausea, abdominal pain, vomiting, dehydration, and sometimes a low-grade fever."
"Who is at high risk of developing food poisoning?","High-risk groups include older adults, infants and young children, people with chronic diseases, and pregnant people."
"What should you do if you develop food poisoning?","If you develop food poisoning, sip liquids (such as a sports drink or water) to prevent dehydration, take note of urination, and avoid anti-diarrheal medications. Foodborne illness often improves on its own within a few days."
"When should you call your doctor if you have food poisoning?","You should call your doctor if vomiting persists for more than two days, diarrhea persists for more than several days, diarrhea turns bloody, black, or tarry, fever is 101 F (38.3 C) or higher, lightheadedness or fainting occurs with standing, confusion develops, or worrisome abdominal pain develops."
"When should you seek emergency medical assistance if you have food poisoning?","You should seek emergency medical assistance if you have severe symptoms (such as severe abdominal pain or watery diarrhea that turns very bloody within 24 hours), belong to a high-risk group, or suspect botulism poisoning."
